sentiment,text,user
"positive","RT @SamsungMobileIN: Bid adieu to power issues and bulky power banks as the new super powerful #GalaxyNote9 comes with a huge 4000 mAh batt…","jadumani_tarai"
"neutral","@SamsungMobileIN A3)  Inbuilt Samsung Dex \n#TimeforNote9 \n#GalaxyNote9","Sagarjack"
"positive","RT @TechnicalGuruji: Samsung Galaxy Note 9 Unboxing &amp; First Look - The Beast!!! 🔥🔥🔥 https://t.co/lfZau8PBgr via @YouTubeIndia https://t.co/…","Binayku07589209"
"positive","RT @SamsungMobileIN: We have taken the efficiency of the S Pen to the next level. It’s now Bluetooth enabled and works exactly like a remot…","jadumani_tarai"
"neutral","@minhwantuan Nan parce que j'avais bun Samsung et je suis passée sur Android mais j'aime pas du tout l'interface","WANGasmique"
"positive","RT @SamsungMobileIN: Q5. In India, the #GalaxyNote9 will be available in these ‘never-seen-before’ colour variants. Watch the webcast, repl…","bhansali_jinal"
"positive","RT @SamsungMobileIN: The mighty S Pen of #GalaxyNote9 lets you capture moments like no one else can. You can click selfies and much more wi…","jadumani_tarai"
"neutral","Samsung has unveiled the CJG5 series, which delivers some of the core features you might crave without the extras.\nhttps://t.co/2d1MG6VwLl","mikrotecnow"
"neutral","las haré entrar en mi samsung j5 https://t.co/Wa9B9PlUT1","smilewitheyl"
"positive","RT @SamsungMobileIN: With the #GalaxyNote9, we want to level up your photography game. The intelligent camera identifies subjects, optimize…","jadumani_tarai"
"negative","RT @SamsungMobileIN: The #GalaxyNote9 changes everything. It is the new game changer. It is engineered to exceed your expectations- Asim Wa…","jadumani_tarai"
"neutral","@luvillafane73 @camilaledesma32 El mio es Samsung y no lo tiene. Se dan cuenta de la sal que manejo? Ya fue me muero nomas.","MarianoGrand1"
"positive","RT @SamsungMobileIN: Q3: This feature of the all new super powerful #GalaxyNote9 helps in transforming your phone into a PC like experience…","Sagarjack"
"neutral","RT @SamsungMobileIN: So, there’s no one like you and there’s nothing like a Note- DJ Koh, President, Samsung Mobile &amp; IT Business. #GalaxyN…","jadumani_tarai"
"neutral","bye bye iphone 7, rebonjour ancien Samsung","lolaaprn"
"positive","@geegeemidnight Hey just read your article on the new coming Samsung monitors. Apparently we can't leave comments o… https://t.co/vDZsGA5A9j","GreenBean59"
"positive","RT @SamsungMobileIN: Q5. In India, the #GalaxyNote9 will be available in these ‘never-seen-before’ colour variants. Watch the webcast, repl…","ACoffeeAddict"
"positive","RT @SamsungMobileIN: The Galaxy Note is just not a mere smartphone. It indeed raised the bar for the smartphones by becoming the most power…","jadumani_tarai"
"neutral","RT @sterlingmrch: En fin, aquí os dejo un enlace para dar vuestra opinión del restaurante. A ver si entre todos podemos bajarle la nota a m…","Henrycacu"
"positive","RT @TechnicalGuruji: Samsung Galaxy Note 9 launched in India..Kuch interesting karte hai fir jaldi hi... https://t.co/4YeK2ej1qW","Santosh94904653"
"positive","Samsung UN55MU650D 55\" \"Curved 4K LED Smart Ultra HD TV https://t.co/5vQJEMgNrW https://t.co/sBJAOI70yr","techzonestation"
"positive","RT @SamsungMobileIN: DJ Koh, President, Samsung Mobile Business, takes the stage at the #GalaxyNote9. Watch the webcast live here:  https:/…","jadumani_tarai"
"neutral","RT @dakotapvcs: quando a câmera do samsung da bug https://t.co/hytGdMPRch","gabriela_mury"
"positive","[americanas] Smart TV LED 58\" Samsung 58mu6120 Ultra HD 4K com Conversor Digital Integrado 3 HDMI... https://t.co/KmXozR4ZxT","GafanhotoApp"
"neutral","An #AI #Camera and a #Bigger battery: what to know about the #Samsung Note9 - #PrescientInfo https://t.co/mEokw9XBCB","philipnettleton"
"neutral","Así es el nuevo Samsung Galaxy Note 9 https://t.co/1FXDwnAJml vía @kelisto","GianFrDiGiorgi"
